Iteration,Timestep,Date,Variable,Jurisdiction,AgeMin,AgeMax,Sex,Value
1,1,29/01/2020,Cases,Canada - British Columbia,,,,0
1,2,30/01/2020,Cases,Canada - British Columbia,,,,0
1,3,31/01/2020,Cases,Canada - British Columbia,,,,0
1,4,01/02/2020,Cases,Canada - British Columbia,,,,0
1,5,02/02/2020,Cases,Canada - British Columbia,,,,0
1,6,03/02/2020,Cases,Canada - British Columbia,,,,0
1,7,04/02/2020,Cases,Canada - British Columbia,,,,0
1,8,05/02/2020,Cases,Canada - British Columbia,,,,0
1,9,06/02/2020,Cases,Canada - British Columbia,,,,1
1,10,07/02/2020,Cases,Canada - British Columbia,,,,0
1,11,08/02/2020,Cases,Canada - British Columbia,,,,0
1,12,09/02/2020,Cases,Canada - British Columbia,,,,0
1,13,10/02/2020,Cases,Canada - British Columbia,,,,0
1,14,11/02/2020,Cases,Canada - British Columbia,,,,0
1,15,12/02/2020,Cases,Canada - British Columbia,,,,0
1,16,13/02/2020,Cases,Canada - British Columbia,,,,0
1,17,14/02/2020,Cases,Canada - British Columbia,,,,0
1,18,15/02/2020,Cases,Canada - British Columbia,,,,0
1,19,16/02/2020,Cases,Canada - British Columbia,,,,0
1,20,17/02/2020,Cases,Canada - British Columbia,,,,0
1,21,18/02/2020,Cases,Canada - British Columbia,,,,1
1,22,19/02/2020,Cases,Canada - British Columbia,,,,0
1,23,20/02/2020,Cases,Canada - British Columbia,,,,0
1,24,21/02/2020,Cases,Canada - British Columbia,,,,0
1,25,22/02/2020,Cases,Canada - British Columbia,,,,0
1,26,23/02/2020,Cases,Canada - British Columbia,,,,0
1,27,24/02/2020,Cases,Canada - British Columbia,,,,2
1,28,25/02/2020,Cases,Canada - British Columbia,,,,0
1,29,26/02/2020,Cases,Canada - British Columbia,,,,0
1,30,27/02/2020,Cases,Canada - British Columbia,,,,0
1,31,28/02/2020,Cases,Canada - British Columbia,,,,0
1,32,29/02/2020,Cases,Canada - British Columbia,,,,0
1,33,01/03/2020,Cases,Canada - British Columbia,,,,0
